t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
111,6.65,214.48,15.91,23.357,1.87,350,,,,,,,,,,,,,,,,
112,6.6,234.54,16.34,23.148,1.76,367.23,,,,,,,,,,,,,,,,
113,6.56,223.79,16.97,21.817,1.9,382.55,,,,,,,,,,,,,,,,
114,6.61,210.3,15.5,21.384,1.76,366.92,,,,,,,,,,,,,,,,
115,6.61,208.82,15.79,20.479,1.86,366.69,,,,,,,,,,,,,,,,
116,6.62,479.33,13.28,23.942,1.73,378.29,,,,,,,,,,,,,,,,
117,6.6,224.75,16.17,22.057,1.85,366.25,,,,,,,,,,,,,,,,
118,6.52,208.43,16.82,21.59,1.73,366.27,,,,,,,,,,,,,,,,
119,6.24,196.16,16.87,20.424,1.86,377.82,,,,,,,,,,,,,,,,
120,6.41,202.2,14.75,20.113,1.74,375.53,,,,,,,,,,,,,,,,
121,6.53,207.76,14.85,20.204,1.72,376.6,,,,,,,,,,,,,,,,
122,6.59,206.16,14.81,20.345,1.72,373.55,,,,,,,,,,,,,,,,
123,6.55,185.5,14.07,20.754,1.7,356.99,,,,,,,,,,,,,,,,
124,6.52,195.37,14.58,20.486,1.69,376.09,,,,,,,,,,,,,,,,
125,6.64,206.07,14.62,19.794,1.69,357.1,,,,,,,,,,,,,,,,
126,6.68,181.63,16.19,19.03,1.69,380.27,,,,,,,,,,,,,,,,
127,6.59,201,15.7,19.145,1.69,372.76,,,,,,,,,,,,,,,,
128,6.6,214.16,15.51,21.029,1.69,358.29,,,,,,,,,,,,,,,,
129,6.53,195.26,15.36,20.221,1.68,349.18,,,,,,,,,,,,,,,,
130,6.59,194.33,14.84,18.898,1.7,357.64,,,,,,,,,,,,,,,,
131,6.54,189.35,13.837,16.75,1.71,353.69,,,,,,,,,,,,,,,,
132,6.57,220.1,13.64,15.945,1.7,343.01,,,,,,,,,,,,,,,,
133,6.58,200.23,12.95,19.803,1.44,369.85,,,,,,,,,,,,,,,,
134,6.61,170.95,15.25,17.208,0.94,355.83,,,,,,,,,,,,,,,,
135,6.56,185.65,17.727,18.2,1.5,355.69,,,,,,,,,,,,,,,,
136,6.58,125.37,14.375,18.38,1.55,367.11,,,,,,,,,,,,,,,,
137,6.53,159.98,16.629,19.36,1.54,348.87,,,,,,,,,,,,,,,,
138,6.59,144.66,13.309,19.8,1.77,366.17,,,,,,,,,,,,,,,,
139,6.56,126.49,14.638,19.08,1.64,362.82,,,,,,,,,,,,,,,,
140,6.6,130.95,13.843,19.7,1.63,366.39,,,,,,,,,,,,,,,,
141,6.6,124.85,14.26,20.26,1.64,361.2,,,,,,,,,,,,,,,,
142,6.49,136.92,16.497,18.05,1.63,349.95,,,,,,,,,,,,,,,,
143,6.59,153.4,18.34,18.447,1.62,353.03,,,,,,,,,,,,,,,,
144,6.57,183.93,18.41,19.191,1.61,328.28,,,,,,,,,,,,,,,,
145,6.54,161.47,15.66,16.124,1.8,343.26,,,,,,,,,,,,,,,,
146,6.51,148.61,13.25,16.276,1.65,356.83,,,,,,,,,,,,,,,,
147,6.46,147.51,12.09,17.747,1.61,356.56,,,,,,,,,,,,,,,,
148,6.53,186.39,11.94,17.314,1.62,367.36,,,,,,,,,,,,,,,,
149,6.5,194.14,13.92,16.966,1.8,354.32,,,,,,,,,,,,,,,,
150,6.5,206.96,11.9,15.214,1.66,346.72,,,,,,,,,,,,,,,,
151,6.44,183.88,11.52,19.081,1.64,341.42,,,,,,,,,,,,,,,,
152,6.49,168.71,11.46,16.682,1.65,344.37,,,,,,,,,,,,,,,,
153,6.53,174.64,13.09,16.949,1.8,348.37,,,,,,,,,,,,,,,,
154,6.43,256.45,11.9,18.362,1.64,356.2,,,,,,,,,,,,,,,,
155,6.49,153.76,11.98,14.943,1.62,345.78,,,,,,,,,,,,,,,,
156,6.48,185.16,11.29,16.307,1.61,368.96,,,,,,,,,,,,,,,,
157,6.46,182.13,11.13,17.531,1.6,331.8,,,,,,,,,,,,,,,,
158,6.46,186.57,12.98,18.348,1.78,333.05,,,,,,,,,,,,,,,,
159,6.43,178.74,11.96,18.89,1.65,352.16,,,,,,,,,,,,,,,,
160,6.46,187.81,11.99,17.575,1.63,358.78,,,,,,,,,,,,,,,,
161,6.45,225.61,11.93,19.572,1.62,330.67,,,,,,,,,,,,,,,,
162,6.49,207.91,5.46,18.169,1.61,347.11,,,,,,,,,,,,,,,,
163,6.47,189.84,3.22,14.712,1.6,367.62,,,,,,,,,,,,,,,,
164,6.45,189.79,1.62,18.368,1.61,369.79,,,,,,,,,,,,,,,,
165,6.48,178.86,2.75,16.146,1.61,357.16,,,,,,,,,,,,,,,,
166,6.48,128.59,11.6,14.081,1.61,339.36,,,,,,,,,,,,,,,,
167,6.46,113.96,13.3,14.849,1.61,357.96,,,,,,,,,,,,,,,,
168,6.49,142.39,13.61,15.261,1.61,362.43,,,,,,,,,,,,,,,,
169,6.44,206.22,13.32,17.325,1.6,361.97,,,,,,,,,,,,,,,,
170,6.45,191.71,13.29,17.661,1.62,342.37,,,,,,,,,,,,,,,,
171,6.43,207.18,13.97,25.649,1.63,350.34,,,,,,,,,,,,,,,,
172,6.43,213.39,13.79,15.894,1.63,346.7,,,,,,,,,,,,,,,,
173,6.41,179.32,12.37,16.325,1.63,350.88,,,,,,,,,,,,,,,,
174,6.41,188.31,13.06,18.626,1.63,372,,,,,,,,,,,,,,,,
175,6.41,165.08,13.83,16.982,1.63,350.51,,,,,,,,,,,,,,,,
176,6.41,187.11,14.25,18.735,1.63,368.38,,,,,,,,,,,,,,,,
177,6.39,163.42,13.67,14.497,1.64,352.13,,,,,,,,,,,,,,,,
178,6.39,136.57,14.845,25,5.47,359.95,,,,,,,,,,,,,,,,
179,6.48,180.56,16.568,40.89,10,357.8,,,,,,,,,,,,,,,,
180,6.42,185.59,15.909,35.89,8.26,352.12,,,,,,,,,,,,,,,,
181,6.42,187.44,6.89,15.28,0.45,364.92,,,,,,,,,,,,,,,,
182,6.51,156.49,6.97,16.151,0.42,353.2,,,,,,,,,,,,,,,,
183,6.55,152.529,13.87,16.402,1.474,389.85,,,,,,,,,,,,,,,,
184,6.48,179.417,14.023,16.916,1.485,371.76,,,,,,,,,,,,,,,,
185,6.49,184.493,12.913,16.205,1.481,364.52,,,,,,,,,,,,,,,,
186,6.45,208.658,12.733,17.352,1.476,368.78,,,,,,,,,,,,,,,,
187,6.49,181.524,13.243,16.125,1.477,357.73,,,,,,,,,,,,,,,,
188,6.49,178.099,14.276,16.42,1.481,355.04,,,,,,,,,,,,,,,,
189,6.45,510.757,13.704,18.09,1.483,356.64,,,,,,,,,,,,,,,,
190,6.21,219.178,14.821,14.959,1.526,360.67,,,,,,,,,,,,,,,,
191,6.13,174.655,14.238,18.288,3.489,368.22,,,,,,,,,,,,,,,,
192,6.24,182.943,1.81,16.467,2.106,348.72,,,,,,,,,,,,,,,,
193,6.24,202.939,1.527,16.135,1.51,376.56,,,,,,,,,,,,,,,,
194,6.44,177.464,1.712,16.871,0.138,369.6,,,,,,,,,,,,,,,,
195,6.56,135.986,1.069,14.481,0.015,365.27,,,,,,,,,,,,,,,,
196,6.5,167.535,6.14,16.543,0.197,376.13,,,,,,,,,,,,,,,,
197,6.48,113.802,7.091,12.263,0.041,374.07,,,,,,,,,,,,,,,,
198,6.49,136.817,11.021,14.139,0.511,358.59,,,,,,,,,,,,,,,,
199,6.49,166.946,15.331,17.31,1.803,367.31,,,,,,,,,,,,,,,,
200,6.49,221.052,13.823,18.124,1.801,372.66,,,,,,,,,,,,,,,,
201,6.52,117.777,10.69,16.59,1.803,361.58,,,,,,,,,,,,,,,,
202,6.47,198.578,15.331,15.902,1.805,370.66,,,,,,,,,,,,,,,,
203,6.48,160.078,13.695,17.233,1.805,386.3,,,,,,,,,,,,,,,,
204,6.47,124.712,11.213,16.117,1.805,353.31,,,,,,,,,,,,,,,,
205,6.48,161.026,12.978,16.622,1.803,368.17,,,,,,,,,,,,,,,,
206,6.45,480.817,14.21,16.148,1.804,367.97,,,,,,,,,,,,,,,,
207,6.49,156.099,12.04,15.824,1.803,371.73,,,,,,,,,,,,,,,,
208,6.52,185.284,14.845,16.089,1.804,376.77,,,,,,,,,,,,,,,,
209,6.53,223.338,16.051,16.631,1.804,380.14,,,,,,,,,,,,,,,,
210,6.46,206.206,17.734,18.136,1.803,372.51,,,,,,,,,,,,,,,,
211,6.5,170.133,13.883,16.015,1.804,369.79,,,,,,,,,,,,,,,,
212,6.48,217.573,13.972,15.299,1.803,362.6,,,,,,,,,,,,,,,,
213,6.51,205.444,13.498,15.657,1.8,344.03,,,,,,,,,,,,,,,,
214,6.54,179.206,15.785,16.04,1.805,353.93,,,,,,,,,,,,,,,,
215,6.5,160.644,15.609,16.04,1.804,349.25,,,,,,,,,,,,,,,,
216,6.45,172.988,16.113,16.871,1.804,340.61,,,,,,,,,,,,,,,,
217,6.36,185.768,15.564,15.707,1.803,343.01,,,,,,,,,,,,,,,,
218,6.45,191.173,12.632,16.897,1.802,345.68,,,,,,,,,,,,,,,,
219,6.45,225.904,18.654,68.79,1.803,344.92,,,,,,,,,,,,,,,,
220,6.46,206.421,18.162,54.344,5.774,365.22,,,,,,,,,,,,,,,,
221,6.33,220.305,14.772,18.003,1.396,362.53,,,,,,,,,,,,,,,,
222,6.41,193.994,14.891,21.571,1.777,352.15,,,,,,,,,,,,,,,,
223,6.41,189.145,15.018,23.079,1.895,354.87,,,,,,,,,,,,,,,,
224,6.4,252.706,18.338,24.974,2.098,362.95,,,,,,,,,,,,,,,,
225,6.36,217.072,19.215,25.903,2.17,377.4,,,,,,,,,,,,,,,,
226,6.24,232.307,17.902,18.312,1.914,357.32,,,,,,,,,,,,,,,,
227,6.27,177.776,14.742,19.551,1.961,361.29,,,,,,,,,,,,,,,,
228,6.43,196.426,16.951,17.839,2.078,357.18,,,,,,,,,,,,,,,,
229,6.33,213.959,15.55,17.711,1.919,366.06,,,,,,,,,,,,,,,,
230,6.3,200.995,9.855,17.605,1.512,356.54,,,,,,,,,,,,,,,,
231,6.3,231.969,7.564,18.814,1.382,361.81,,,,,,,,,,,,,,,,
232,6.36,195.833,6.864,21.533,1.358,373.99,,,,,,,,,,,,,,,,
233,6.34,195.832,6.721,18.244,1.311,380.28,,,,,,,,,,,,,,,,
234,6.36,242.116,7.074,18.382,1.32,358.26,,,,,,,,,,,,,,,,
