t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
650,7.271,98.754,12.27,15.149,1.952,355.26,,,,,,,,,,,,,,,,
651,7.264,58.854,10.837,15.36,1.882,351.1,,,,,,,,,,,,,,,,
652,7.202,,8.945,17.517,1.934,355.12,,,,,,,,,,,,,,,,
653,7.181,34.082,9.748,14.761,1.723,351.25,,,,,,,,,,,,,,,,
654,7.213,114.278,13.451,22.058,1.423,356.01,,,,,,,,,,,,,,,,
655,7.279,91.14,13.71,18.495,1.419,359.64,,,,,,,,,,,,,,,,
656,7.224,102.594,11.766,20.886,1.388,351.85,,,,,,,,,,,,,,,,
657,7.26,80.73,11.867,22.078,1.412,358.78,,,,,,,,,,,,,,,,
658,7.259,104.238,9.873,20.471,1.267,356.54,,,,,,,,,,,,,,,,
659,7.257,74.996,9.176,21.216,1.211,365.15,,,,,,,,,,,,,,,,
660,7.25,66.782,7.804,16.68,1.003,368.56,,,,,,,,,,,,,,,,
661,7.314,69.851,6.218,19.223,0.919,363.73,,,,,,,,,,,,,,,,
662,7.315,77.78,7.229,23.551,0.977,347.84,,,,,,,,,,,,,,,,
663,7.312,79.845,9.543,27.351,0.966,355.1,,,,,,,,,,,,,,,,
664,7.269,88.167,9.783,18.116,1.25,360.62,,,,,,,,,,,,,,,,
665,7.183,91.986,9.651,18.34,1.345,360.2,,,,,,,,,,,,,,,,
666,7.298,94.82,9.848,14.723,1.354,366.46,,,,,,,,,,,,,,,,
667,7.311,149.494,10.141,16.876,1.671,357.05,,,,,,,,,,,,,,,,
668,7.315,102.363,8.972,13.167,1.479,360.44,,,,,,,,,,,,,,,,
669,7.326,96.508,13.441,16.083,1.43,369.8,,,,,,,,,,,,,,,,
670,7.271,112.499,11.798,13.811,1.392,369.17,,,,,,,,,,,,,,,,
671,7.303,80.679,10.357,14.951,1.276,359.97,,,,,,,,,,,,,,,,
672,7.306,85.023,10.883,16.375,1.319,360.22,,,,,,,,,,,,,,,,
673,7.252,88.876,10.515,18.877,1.43,372.84,,,,,,,,,,,,,,,,
674,7.069,108.32,11.009,17.691,1.406,362.17,,,,,,,,,,,,,,,,
675,7.086,112.298,11.134,18.778,1.365,365.35,,,,,,,,,,,,,,,,
676,7.073,114.636,10.685,15.349,1.436,364.6,,,,,,,,,,,,,,,,
677,7.113,120.423,11.259,18.903,1.516,365.77,,,,,,,,,,,,,,,,
678,7.137,127.368,10.664,18.521,1.468,359.55,,,,,,,,,,,,,,,,
679,7.177,126.054,10.89,21.047,1.429,366.01,,,,,,,,,,,,,,,,
680,7.202,130.211,11.288,18.358,1.398,362.35,,,,,,,,,,,,,,,,
681,7.322,122.481,11.873,20.216,1.33,353.99,,,,,,,,,,,,,,,,
682,7.27,128.009,11.257,18.922,1.45,357.86,,,,,,,,,,,,,,,,
683,7.271,120.946,11.21,16.024,1.412,358.99,,,,,,,,,,,,,,,,
684,7.276,126.075,7.163,17.65,1.257,355.36,,,,,,,,,,,,,,,,
685,7.26,124.836,7.929,17.251,1.288,352.91,,,,,,,,,,,,,,,,
686,7.289,134.662,11.621,15.296,1.426,349.18,,,,,,,,,,,,,,,,
687,7.258,123.571,9.722,12.101,1.24,343.42,,,,,,,,,,,,,,,,
688,7.291,122.8,10.154,19.94,1.494,356.87,,,,,,,,,,,,,,,,
689,7.332,129.529,10.655,10.533,1.07,362.58,,,,,,,,,,,,,,,,
690,7.269,129.689,11.365,11.927,0.595,358.56,,,,,,,,,,,,,,,,
691,7.298,134.372,14.134,24.128,1.602,357.19,,,,,,,,,,,,,,,,
692,7.325,127.513,10.385,25.511,2.045,341.93,,,,,,,,,,,,,,,,
693,7.261,137.82,11.075,25.915,1.792,368.38,,,,,,,,,,,,,,,,
694,7.363,126.576,13.157,27.691,1.74,319.3,,,,,,,,,,,,,,,,
695,7.338,133.498,12.151,26.913,1.843,371.21,,,,,,,,,,,,,,,,
696,7.334,121.96,8.596,28.84,1.838,369.51,,,,,,,,,,,,,,,,
697,7.3,171.67,6.851,24.944,1.978,373.17,,,,,,,,,,,,,,,,
698,7.286,118,7.546,31.117,1.773,366.02,,,,,,,,,,,,,,,,
699,7.316,119.629,13.027,29.326,1.78,364.81,,,,,,,,,,,,,,,,
700,7.154,117.106,11.483,33.209,1.719,357.65,,,,,,,,,,,,,,,,
701,7.356,116.201,10.203,27.418,1.635,357.65,,,,,,,,,,,,,,,,
702,7.282,116.979,8.433,23.094,1.597,362.33,,,,,,,,,,,,,,,,
703,7.325,115.915,11.011,25.837,1.638,358.86,,,,,,,,,,,,,,,,
704,7.369,128.142,11.771,24.477,1.755,355.87,,,,,,,,,,,,,,,,
705,7.191,123.271,12.571,21.914,1.755,353.6,,,,,,,,,,,,,,,,
706,7.303,69.473,8.114,19.005,1.717,356.68,,,,,,,,,,,,,,,,
707,7.39,67.995,7.705,23.756,1.702,369.1,,,,,,,,,,,,,,,,
708,7.349,65.443,11.161,24.134,1.642,371.63,,,,,,,,,,,,,,,,
709,7.334,63.606,11.639,24.667,1.538,370.51,,,,,,,,,,,,,,,,
710,7.37,63.751,11.58,22.701,1.625,362.5,,,,,,,,,,,,,,,,
711,7.352,63.178,12.693,26.488,1.624,371.17,,,,,,,,,,,,,,,,
712,7.217,61.192,11.22,19.732,1.582,367.11,,,,,,,,,,,,,,,,
713,7.242,59.249,11.967,24.81,1.484,369.03,,,,,,,,,,,,,,,,
714,7.445,64.669,11.229,11.96,1.444,369.08,,,,,,,,,,,,,,,,
715,7.436,65.024,11.629,8.767,1.318,381.38,,,,,,,,,,,,,,,,
716,7.402,69.499,11.254,10.694,1.213,371.66,,,,,,,,,,,,,,,,
717,7.38,62.283,12.14,15.223,1.273,354.42,,,,,,,,,,,,,,,,
718,7.36,65.219,12.217,15.742,1.259,361.59,,,,,,,,,,,,,,,,
719,7.345,69.592,10.223,17.698,1.245,366.92,,,,,,,,,,,,,,,,
720,7.35,71.069,11.471,20.715,1.224,368.36,,,,,,,,,,,,,,,,
721,7.393,73.739,8.608,17.735,1.25,368.14,,,,,,,,,,,,,,,,
722,7.347,71.499,6.62,23.623,1.341,378.25,,,,,,,,,,,,,,,,
723,7.341,73.177,11.508,26.436,1.472,381.19,,,,,,,,,,,,,,,,
724,7.339,67.128,11.32,24.069,1.403,384.65,,,,,,,,,,,,,,,,
725,7.299,71.486,11.278,15.952,1.352,365.74,,,,,,,,,,,,,,,,
726,7.416,80.477,10.139,17.166,1.324,372.43,,,,,,,,,,,,,,,,
727,7.326,75.185,9.36,19.113,1.35,364.23,,,,,,,,,,,,,,,,
728,7.423,136.608,12.138,19.049,1.649,366.5,,,,,,,,,,,,,,,,
729,7.435,75.844,11.341,11.668,1.152,375.51,,,,,,,,,,,,,,,,
730,7.378,70.922,11.655,11.824,1.351,378.99,,,,,,,,,,,,,,,,
731,7.391,71.927,8.156,13.629,1.575,374.51,,,,,,,,,,,,,,,,
732,7.365,76.101,9.214,11.326,1.549,370.11,,,,,,,,,,,,,,,,
733,7.389,75.504,10.801,11.362,1.511,380.32,,,,,,,,,,,,,,,,
734,7.375,72.808,7.558,10.899,1.541,373.73,,,,,,,,,,,,,,,,
735,7.366,80.829,12.357,12.742,1.531,376.33,,,,,,,,,,,,,,,,
736,7.279,50.748,9.636,17.806,1.558,363.84,,,,,,,,,,,,,,,,
737,7.088,43.526,12.744,13.195,1.506,377.91,,,,,,,,,,,,,,,,
738,7.05,82.402,12.567,18.673,3.081,376.33,,,,,,,,,,,,,,,,
739,7.06,69.812,13.594,21.638,1.85,376.6,,,,,,,,,,,,,,,,
740,7.149,85.547,11.398,18.677,1.817,375.42,,,,,,,,,,,,,,,,
741,7.172,94.183,7.794,20.177,1.855,373.42,,,,,,,,,,,,,,,,
742,7.34,91.368,9.21,23.31,2.002,362.83,,,,,,,,,,,,,,,,
743,7.437,83.131,11.452,19.936,1.912,363.28,,,,,,,,,,,,,,,,
744,7.387,75.392,11.788,17.63,1.89,359.46,,,,,,,,,,,,,,,,
745,7.338,71.973,12.965,19.019,1.871,371.81,,,,,,,,,,,,,,,,
746,7.331,61.163,12.438,17.415,1.834,382.96,,,,,,,,,,,,,,,,
747,7.322,39.338,11.624,21.679,1.893,378.6,,,,,,,,,,,,,,,,
748,7.288,74.445,10.019,18.138,1.598,388.34,,,,,,,,,,,,,,,,
749,7.108,54.914,11.236,17.255,1.635,385.65,,,,,,,,,,,,,,,,
750,6.997,66.97,10.026,23.029,1.765,368.66,,,,,,,,,,,,,,,,
751,7.027,65.15,10.044,17.544,1.666,366.45,,,,,,,,,,,,,,,,
752,7.208,66.724,11.952,23.437,1.657,355.8,,,,,,,,,,,,,,,,
753,7.336,62.575,10.641,30.574,1.658,371.07,,,,,,,,,,,,,,,,
754,7.346,66.107,13.003,27.819,1.684,344.95,,,,,,,,,,,,,,,,
755,7.248,60.736,13.372,20.543,1.671,354.04,,,,,,,,,,,,,,,,
756,7.303,62.994,10.806,26.309,1.655,351.95,,,,,,,,,,,,,,,,
757,7.395,58.871,8.085,21.503,1.586,377.86,,,,,,,,,,,,,,,,
758,7.634,130.228,10.436,17.859,1.856,340.4,,,,,,,,,,,,,,,,
759,7.646,48.87,10.039,17.336,1.691,366.1,,,,,,,,,,,,,,,,
760,7.547,42.226,10.056,15.18,1.753,373.6,,,,,,,,,,,,,,,,
761,7.476,48.512,10.442,20.043,1.658,204.6,,,,,,,,,,,,,,,,
762,7.561,59.276,9.335,17.798,1.481,360.54,,,,,,,,,,,,,,,,
763,7.462,58.495,8.734,19.566,1.556,368.01,,,,,,,,,,,,,,,,
764,7.413,61.576,9.475,23.545,1.877,320.01,,,,,,,,,,,,,,,,
765,7.443,63.21,10.946,18.437,1.794,358.82,,,,,,,,,,,,,,,,
766,7.307,355.018,7.556,19.636,1.707,322.33,,,,,,,,,,,,,,,,
767,7.249,70.431,9.251,16.662,1.733,345.78,,,,,,,,,,,,,,,,
768,7.272,67.752,11.721,16.765,1.654,350.47,,,,,,,,,,,,,,,,
769,7.279,71.368,12.062,18.274,1.637,354.61,,,,,,,,,,,,,,,,
770,7.213,46.61,10.054,15.055,1.612,353.72,,,,,,,,,,,,,,,,
771,7.236,60.655,11.101,19.994,1.7,360.14,,,,,,,,,,,,,,,,
772,7.267,69.006,10.366,17.631,1.77,377.9,,,,,,,,,,,,,,,,
773,7.23,65.718,9.877,12.816,1.738,377.11,,,,,,,,,,,,,,,,
774,7.295,57.443,7.543,10.789,1.656,365.42,,,,,,,,,,,,,,,,
775,7.312,58.24,8.941,10.86,1.694,366.09,,,,,,,,,,,,,,,,
776,7.262,68.111,9.832,11.001,1.798,358.59,,,,,,,,,,,,,,,,
777,7.219,80.749,11.574,12.764,1.823,358.57,,,,,,,,,,,,,,,,
778,7.307,89.427,11.371,13.127,1.756,370.92,,,,,,,,,,,,,,,,
779,7.414,86.944,13.074,12.535,1.847,374.73,,,,,,,,,,,,,,,,
780,7.181,89.593,8.644,12.157,1.848,375.45,,,,,,,,,,,,,,,,
781,7.125,89.763,9.417,13.458,1.864,377.44,,,,,,,,,,,,,,,,
782,7.231,91.265,9.136,11.543,1.851,369.87,,,,,,,,,,,,,,,,
783,7.16,89.147,11.29,11.953,1.83,360.7,,,,,,,,,,,,,,,,
784,7.324,93.221,10.355,11.531,1.79,358.8,,,,,,,,,,,,,,,,
785,7.455,100.545,10.419,11.957,1.882,372.67,,,,,,,,,,,,,,,,
786,7.403,162.645,9.842,13.789,2.056,325.76,,,,,,,,,,,,,,,,
787,7.39,73.36,8.65,14.23,1.796,373.9,,,,,,,,,,,,,,,,
788,7.381,82.772,7.224,13.636,1.858,371.17,,,,,,,,,,,,,,,,
789,7.318,97.841,11.824,13.5,1.897,360.25,,,,,,,,,,,,,,,,
790,7.419,97.2,11.395,15.574,1.914,366.9,,,,,,,,,,,,,,,,
791,7.423,91.45,11.298,13.642,1.923,368.92,,,,,,,,,,,,,,,,
792,7.353,99.437,9.139,14.264,1.995,367.95,,,,,,,,,,,,,,,,
793,7.384,101.342,10.364,14.514,1.971,362.25,,,,,,,,,,,,,,,,
794,7.411,104.61,10.09,14.556,1.706,369.88,,,,,,,,,,,,,,,,
795,7.354,86.203,9.886,15.713,1.876,364.58,,,,,,,,,,,,,,,,
796,7.379,83.723,8.086,14.842,1.973,359.88,,,,,,,,,,,,,,,,
797,7.433,87.955,10.764,16.2,1.961,368.01,,,,,,,,,,,,,,,,
798,7.386,91.981,10.681,16.766,2.088,359.9,,,,,,,,,,,,,,,,
799,7.469,126.517,15.435,16.289,2.101,370.96,,,,,,,,,,,,,,,,
800,7.425,92.769,11.272,15.125,1.924,366.8,,,,,,,,,,,,,,,,
801,7.453,103.832,8.431,15.54,1.826,357.02,,,,,,,,,,,,,,,,
802,7.363,112.715,8.669,12.682,1.76,361.7,,,,,,,,,,,,,,,,
803,7.255,111.298,9.955,13.902,1.902,364.55,,,,,,,,,,,,,,,,
804,7.311,119.956,10.596,15.522,2.006,369.1,,,,,,,,,,,,,,,,
805,7.37,120.464,12.963,18.304,2.093,365.94,,,,,,,,,,,,,,,,
806,7.385,109.816,8.886,19.389,2.155,368.83,,,,,,,,,,,,,,,,
807,7.325,115.878,10.632,17.606,2.157,370.34,,,,,,,,,,,,,,,,
808,7.31,121.103,10.575,18.887,2.311,361.19,,,,,,,,,,,,,,,,
809,7.262,109.985,9.822,15.702,2.011,364.04,,,,,,,,,,,,,,,,
810,7.337,105.344,11.588,17.954,2.13,371.24,,,,,,,,,,,,,,,,
811,7.275,110.825,12.765,17.135,2.138,368.46,,,,,,,,,,,,,,,,
812,7.31,107.063,11.87,14.883,2.08,365.72,,,,,,,,,,,,,,,,
813,7.315,103.398,13.368,15.4,2.115,359.53,,,,,,,,,,,,,,,,
814,7.282,161.841,13.584,16.095,2.038,356.94,,,,,,,,,,,,,,,,
815,7.288,111.835,13.639,16.057,1.673,368.63,,,,,,,,,,,,,,,,
816,7.169,113.723,13.457,16.883,1.779,362.99,,,,,,,,,,,,,,,,
817,7.058,110.62,14.304,16.454,1.791,364.17,,,,,,,,,,,,,,,,
818,7.268,108.104,13.725,15.813,1.829,372.17,,,,,,,,,,,,,,,,
819,7.247,108.325,14.61,15.925,1.87,372.78,,,,,,,,,,,,,,,,
820,7.289,126.123,11.675,16.077,1.789,345.16,,,,,,,,,,,,,,,,
821,7.3,99.378,8.108,13.145,1.518,347.99,,,,,,,,,,,,,,,,
822,7.283,91.397,12.047,14.165,1.571,334.95,,,,,,,,,,,,,,,,
823,7.33,90.746,14.289,14.873,1.576,375.97,,,,,,,,,,,,,,,,
824,7.111,115.86,9.425,13.101,1.517,334.06,,,,,,,,,,,,,,,,
825,7.352,92.3,6.394,12.995,1.499,372.4,,,,,,,,,,,,,,,,
826,7.301,99.275,11.152,11.712,1.47,375.26,,,,,,,,,,,,,,,,
827,7.285,98.285,9.652,10.903,1.335,375,,,,,,,,,,,,,,,,
828,7.273,87.062,11.475,14.453,1.244,372.09,,,,,,,,,,,,,,,,
829,7.302,84.604,10.432,13.666,1.234,378.6,,,,,,,,,,,,,,,,
830,7.306,80.741,10.32,17.618,1.232,373.85,,,,,,,,,,,,,,,,
831,7.269,95.823,12.26,17.512,1.233,364.17,,,,,,,,,,,,,,,,
832,7.244,96.845,12.692,16.883,1.233,377.5,,,,,,,,,,,,,,,,
833,7.285,95.712,13.176,11.42,1.328,381.7,,,,,,,,,,,,,,,,
834,7.19,93.396,12.286,15.742,1.536,378.9,,,,,,,,,,,,,,,,
835,7.3,99.599,12.325,17.369,1.789,374.52,,,,,,,,,,,,,,,,
836,7.314,90.335,12.106,23.08,1.861,370.56,,,,,,,,,,,,,,,,
837,7.301,96.208,12.323,19.476,1.817,373.33,,,,,,,,,,,,,,,,
838,7.303,88.638,11.712,20.803,1.55,375.36,,,,,,,,,,,,,,,,
839,7.276,96.254,12.98,18.154,1.287,360.24,,,,,,,,,,,,,,,,
840,7.231,99.727,12.861,16.682,1.318,358.72,,,,,,,,,,,,,,,,
841,7.248,103.68,13.151,16.052,1.185,362.1,,,,,,,,,,,,,,,,
842,7.182,95.391,12.522,18.429,0.98,366.01,,,,,,,,,,,,,,,,
843,7.155,96.851,13.588,13.254,0.888,362.63,,,,,,,,,,,,,,,,
844,7.131,134.617,14.6,15.764,1.021,364.79,,,,,,,,,,,,,,,,
845,7.206,118.781,11.603,21.918,1.329,369.9,,,,,,,,,,,,,,,,
846,7.181,172.735,15.118,19.833,1.825,349.17,,,,,,,,,,,,,,,,
847,7.08,115.651,15.866,20.738,1.435,355.55,,,,,,,,,,,,,,,,
848,7.219,106.194,14.946,23.039,1.582,354.16,,,,,,,,,,,,,,,,
849,7.127,101.368,14.99,20.501,1.475,368.04,,,,,,,,,,,,,,,,
850,7.048,94.078,12.752,21.198,1.353,367.03,,,,,,,,,,,,,,,,
851,7.174,86.503,12.378,16.817,1.277,351.27,,,,,,,,,,,,,,,,
852,7.127,99.443,13.546,18.564,1.322,380.79,,,,,,,,,,,,,,,,
853,7.161,107.548,12.785,20.798,1.248,358.94,,,,,,,,,,,,,,,,
854,7.184,119.307,16.191,18.283,1.31,373.3,,,,,,,,,,,,,,,,
855,7.102,132.754,14.679,18.593,1.284,366.81,,,,,,,,,,,,,,,,
856,7.077,92.238,11.274,19.323,1.185,366.68,,,,,,,,,,,,,,,,
857,7.146,96.869,11.604,16.842,1.242,366.5,,,,,,,,,,,,,,,,
858,7.216,96.464,12.186,14.999,1.152,366.67,,,,,,,,,,,,,,,,
859,7.166,104.413,13.557,16.94,1.284,359.84,,,,,,,,,,,,,,,,
860,7.189,112.288,14.585,22.15,1.361,372.64,,,,,,,,,,,,,,,,
861,7.191,111.176,13.951,20.09,1.485,368.07,,,,,,,,,,,,,,,,
862,7.215,113.983,15.843,21.621,1.626,364.08,,,,,,,,,,,,,,,,
863,7.223,122.999,13.654,23.294,1.567,387.7,,,,,,,,,,,,,,,,
864,7.218,113.123,15.939,21.896,1.493,384.07,,,,,,,,,,,,,,,,
865,7.226,92.882,9.395,22.437,1.569,377.98,,,,,,,,,,,,,,,,
866,7.175,103.262,10.764,22.284,1.663,366.71,,,,,,,,,,,,,,,,
867,7.132,95.904,11.363,28.759,1.766,369.9,,,,,,,,,,,,,,,,
868,7.162,95.796,7.657,28.584,1.864,365.93,,,,,,,,,,,,,,,,
869,7.207,98.803,10.372,22.33,1.869,354.49,,,,,,,,,,,,,,,,
870,7.155,87.621,11.691,18.994,1.829,347.65,,,,,,,,,,,,,,,,
871,7.193,109.558,11.322,17.413,1.676,372.6,,,,,,,,,,,,,,,,
872,7.121,99.988,13.508,15.55,1.578,375.15,,,,,,,,,,,,,,,,
873,7.024,98.47,13.993,10.11,1.53,356.82,,,,,,,,,,,,,,,,
874,7.03,67.662,6.388,5.597,1.048,371.23,,,,,,,,,,,,,,,,
875,7.076,105.601,11.016,12.573,1.393,372.73,,,,,,,,,,,,,,,,
876,7.153,163.926,11.168,18.009,2.016,368.94,,,,,,,,,,,,,,,,
877,7.11,100.632,14.125,17.239,1.717,385.29,,,,,,,,,,,,,,,,
878,7.122,97.46,16.91,14.279,1.617,360.67,,,,,,,,,,,,,,,,
879,7.11,95.942,14.611,23.439,1.768,363.88,,,,,,,,,,,,,,,,
880,7.119,106.861,12.61,22.929,1.771,369.88,,,,,,,,,,,,,,,,
881,7.088,120.935,10.698,20.923,1.847,365.28,,,,,,,,,,,,,,,,
882,6.853,122.05,17.209,22.015,1.879,360.89,,,,,,,,,,,,,,,,
883,6.865,141.802,17.485,21.716,1.86,365.34,,,,,,,,,,,,,,,,
884,6.885,115.979,17.773,21.542,1.717,364.77,,,,,,,,,,,,,,,,
885,6.805,78.84,16.777,24.446,1.697,368.51,,,,,,,,,,,,,,,,
886,,,,,,,,,,,,,,,,,,,,,,
887,6.97,104.087,14.281,14.795,1.704,335.69,,,,,,,,,,,,,,,,
888,7.005,103.904,15.974,18.686,1.627,366.65,,,,,,,,,,,,,,,,
889,7.007,99.157,15.294,18.791,1.602,370.8,,,,,,,,,,,,,,,,
890,6.988,115.474,10.895,12.461,1.38,375.47,,,,,,,,,,,,,,,,
891,6.939,58.755,8.542,15.824,1.444,369.47,,,,,,,,,,,,,,,,
892,7.031,67.254,10.341,18.384,1.577,374.64,,,,,,,,,,,,,,,,
893,6.974,75.273,10.021,21.006,1.599,380.38,,,,,,,,,,,,,,,,
894,6.933,70.405,8.824,18.577,1.555,376.47,,,,,,,,,,,,,,,,
895,7.013,69.762,8.907,17.871,1.593,375.39,,,,,,,,,,,,,,,,
896,7.022,162.086,12.359,15.578,1.629,377.87,,,,,,,,,,,,,,,,
897,6.964,84.496,11.182,14.775,1.477,364.89,,,,,,,,,,,,,,,,
898,6.979,81.372,10.818,19.219,1.314,361.12,,,,,,,,,,,,,,,,
899,7.016,76.736,10.727,12.392,1.156,355.33,,,,,,,,,,,,,,,,
900,7.005,79.438,10.714,18.154,1.224,345,,,,,,,,,,,,,,,,
901,7.013,87.174,12.432,24.6,1.58,366.24,,,,,,,,,,,,,,,,
902,7.014,109.187,11.03,18.803,1.614,353.33,,,,,,,,,,,,,,,,
903,7.002,110.717,11.18,20.383,1.544,358.62,,,,,,,,,,,,,,,,
904,6.829,73.866,8.708,12.058,1.028,352.74,,,,,,,,,,,,,,,,
905,6.997,85.813,6.198,13.137,1.347,348.44,,,,,,,,,,,,,,,,
906,6.804,71.633,12.78,21.896,1.966,358.1,,,,,,,,,,,,,,,,
907,6.819,157.529,13.7,17.001,1.888,353.25,,,,,,,,,,,,,,,,
908,6.965,65.043,16.011,12.391,1.16,363.96,,,,,,,,,,,,,,,,
909,6.822,66.075,12.062,12.201,1.153,367.78,,,,,,,,,,,,,,,,
910,6.796,82.459,14.999,10.05,1.134,374.14,,,,,,,,,,,,,,,,
911,6.918,57.226,10.072,7.743,1.118,299.5,,,,,,,,,,,,,,,,
912,6.782,56.417,11.716,11.095,1.137,361.3,,,,,,,,,,,,,,,,
913,6.822,40.024,5.968,13.122,1.44,370.92,,,,,,,,,,,,,,,,
914,6.973,61.076,11.237,16.203,1.751,368.24,,,,,,,,,,,,,,,,
915,6.86,90.345,11.864,15.877,1.814,364.11,,,,,,,,,,,,,,,,
916,6.902,80.564,13.048,20.239,1.777,367.86,,,,,,,,,,,,,,,,
917,6.961,75.659,11.894,19.662,1.732,358.18,,,,,,,,,,,,,,,,
918,6.953,69.636,13.939,13.518,1.579,373.96,,,,,,,,,,,,,,,,
919,6.915,52.848,10.196,14.177,1.504,376.8,,,,,,,,,,,,,,,,
920,6.951,62.969,10.166,13.169,1.456,370.69,,,,,,,,,,,,,,,,
921,6.925,69.37,10.074,14.773,1.543,359.48,,,,,,,,,,,,,,,,
922,6.973,61.947,10.751,15.919,1.483,355.08,,,,,,,,,,,,,,,,
923,7.01,59.396,9.424,18.17,1.495,356.49,,,,,,,,,,,,,,,,
924,6.612,73.902,13.183,16.8,1.397,374.3,,,,,,,,,,,,,,,,
925,6.627,76.255,11.295,12.553,1.341,361.52,,,,,,,,,,,,,,,,
926,6.566,89.926,13.142,10.586,1.347,355.78,,,,,,,,,,,,,,,,
927,6.711,103.097,13.127,17.83,1.651,356.05,,,,,,,,,,,,,,,,
928,6.754,71.357,14.197,14.759,1.561,369.62,,,,,,,,,,,,,,,,
929,6.59,65.282,9.813,18.596,1.587,360.21,,,,,,,,,,,,,,,,
930,6.718,70.671,13.32,17.217,1.661,367.79,,,,,,,,,,,,,,,,
931,6.724,102.515,7.558,12.827,1.601,357.52,,,,,,,,,,,,,,,,
932,6.723,96.912,14.399,15.301,1.765,348.46,,,,,,,,,,,,,,,,
933,6.746,83.473,11.08,13.644,1.636,354.65,,,,,,,,,,,,,,,,
934,6.596,60.467,12.81,14.278,1.644,346.92,,,,,,,,,,,,,,,,
935,6.744,68.486,11.065,12.96,1.482,360.08,,,,,,,,,,,,,,,,
936,6.812,82.64,13.323,14.241,1.444,358.9,,,,,,,,,,,,,,,,
937,6.755,68.182,9.106,6.796,1.259,352.74,,,,,,,,,,,,,,,,
938,6.774,80.298,14.439,9.274,1.32,357.93,,,,,,,,,,,,,,,,
939,6.739,85.902,13.003,8.245,1.349,364.78,,,,,,,,,,,,,,,,
940,6.655,146.869,15.689,10.41,1.497,370.7,,,,,,,,,,,,,,,,
941,6.796,95.961,12.457,9.453,0.968,365.61,,,,,,,,,,,,,,,,
942,6.847,120.425,12.374,9.329,0.903,369.49,,,,,,,,,,,,,,,,
943,6.743,83.93,10.821,13.991,0.909,358.79,,,,,,,,,,,,,,,,
944,6.8,59.834,11.742,12.542,0.896,345.84,,,,,,,,,,,,,,,,
945,6.806,69.86,10.847,9.638,0.872,351.13,,,,,,,,,,,,,,,,
946,6.831,62.9,13.232,10.329,0.937,377.46,,,,,,,,,,,,,,,,
947,6.74,62.689,10.009,14.213,0.978,344.83,,,,,,,,,,,,,,,,
948,6.859,75.098,15.641,15.814,0.929,351.15,,,,,,,,,,,,,,,,
949,,,,,,,,,,,,,,,,,,,,,,
950,6.711,90.3,10.742,18.83,0.944,348.51,,,,,,,,,,,,,,,,
951,6.739,100.627,10.739,13.71,0.933,372.85,,,,,,,,,,,,,,,,
952,6.796,88.145,9.663,11.429,0.912,363.96,,,,,,,,,,,,,,,,
953,6.824,50.997,9.316,11.612,0.906,369.94,,,,,,,,,,,,,,,,
954,6.857,53.004,8.269,10.481,1.002,368.64,,,,,,,,,,,,,,,,
955,6.836,72.729,11.631,13.886,1.256,377.13,,,,,,,,,,,,,,,,
956,6.666,60.957,9.082,17.647,1.231,371.18,,,,,,,,,,,,,,,,
957,6.766,56.786,11.908,15.457,1.252,375.64,,,,,,,,,,,,,,,,
958,6.783,43.493,8.365,19.442,1.376,378.56,,,,,,,,,,,,,,,,
959,6.76,43.299,9.054,14.828,1.381,389.23,,,,,,,,,,,,,,,,
960,6.76,44.113,5.16,13.898,1.251,383.46,,,,,,,,,,,,,,,,
961,6.764,37.893,6.952,8.459,1.256,388.26,,,,,,,,,,,,,,,,
962,6.67,26.451,3.898,6.322,1.105,386.98,,,,,,,,,,,,,,,,
963,6.77,25.386,6.477,6.998,1.005,386.61,,,,,,,,,,,,,,,,
964,6.775,30.562,5.895,4.67,0.949,385.74,,,,,,,,,,,,,,,,
965,6.75,50.57,8.723,4.12,0.924,385.29,,,,,,,,,,,,,,,,
966,6.816,94.609,8.277,3.92,0.891,388.39,,,,,,,,,,,,,,,,
967,6.812,79.804,6.886,7.07,0.888,381.94,,,,,,,,,,,,,,,,
968,6.787,130.717,5.64,12.402,1.628,386.7,,,,,,,,,,,,,,,,
969,6.849,50.308,6.546,9.892,1.392,388.42,,,,,,,,,,,,,,,,
970,6.857,50.445,5.382,10.804,1.2,386.79,,,,,,,,,,,,,,,,
971,6.903,43.93,5.014,10.672,1.292,388.72,,,,,,,,,,,,,,,,
972,6.934,53.764,4.932,10.649,1.335,385.63,,,,,,,,,,,,,,,,
973,6.921,64.139,8.59,10.506,1.135,388.08,,,,,,,,,,,,,,,,
974,6.886,89.798,9.229,18.869,1.128,380.52,,,,,,,,,,,,,,,,
975,6.806,110.941,12.676,17.288,1.355,384.6,,,,,,,,,,,,,,,,
976,6.803,127.695,10.868,18.091,1.377,388.81,,,,,,,,,,,,,,,,
977,6.753,126.007,13.241,20.107,1.405,387.91,,,,,,,,,,,,,,,,
978,,,,,,,,,,,,,,,,,,,,,,
979,5.947,65.385,6.513,13.984,1.078,233.66,,,,,,,,,,,,,,,,
980,6.805,59.753,9.195,15.506,1.223,389.97,,,,,,,,,,,,,,,,
981,6.765,68.243,8.066,18.948,1.353,388.93,,,,,,,,,,,,,,,,
982,6.866,79.216,10.313,12.564,1.319,384.13,,,,,,,,,,,,,,,,
